Date,Open,High,Low,Close
18/09/2023,150.13,154.56,149.06,153.91
17/09/2023,146.09,149.93,145.81,148.91
16/09/2023,152.79,152.79,144.68,148.09
15/09/2023,147.81,151.01,147.05,150.31
14/09/2023,149,149.77,147.56,147.63
13/09/2023,145.92,148.47,145.79,147.02
12/09/2023,148.36,151.055,147.48,147.6
11/09/2023,149.07,150.85,148.25,148.6
10/09/2023,151.37,152.2,148.49,149.42
09/09/2023,146.1,152.06,144.75,151.26
08/09/2023,146.62,147.53,145.46,146.38
07/09/2023,143.8,146.83,143.12,146.32
06/09/2023,142.23,144.3,141.24,143.72
05/09/2023,146.5,146.5,141.17,142.55
04/09/2023,148.01,149.59,146.6,147
03/09/2023,144.97,147.99,143.7,147.99
02/09/2023,143.29,144.86,142.94,143.66
01/09/2023,142.39,146,142.22,145
31/08/2023,141.61,142.38,139.3,141.87
30/08/2023,137.42,140.94,136.87,140.75
29/08/2023,136.05,140.99,135.91,138.06
28/08/2023,137.96,137.96,135.05,136.5
27/08/2023,134.09,138.5,134.09,138.45
26/08/2023,131.75,133.59,128.72,133.59
25/08/2023,133.91,133.98,131.17,133.12
24/08/2023,138.98,140,133.1,133.92
23/08/2023,136.3,145.68,133.95,138.95
22/08/2023,133.7,134.11,130.2,131.97
21/08/2023,133.39,134.18,131.56,133.74
20/08/2023,131.5,134.6,131.5,133.37
19/08/2023,132.59,135.37,131.77,133.51
18/08/2023,135.34,136.22,133.6,134.16
17/08/2023,133.68,134.31,131.52,133.78
16/08/2023,134.56,135.88,132.77,135.11
15/08/2023,132.67,135.13,132.33,134.95
14/08/2023,133.04,133.95,130.48,130.98
13/08/2023,132.5,134.73,130.87,131.25
12/08/2023,129.61,132.74,129.23,132.27
11/08/2023,130,133.29,129.03,132.51
10/08/2023,135.67,135.67,130.31,131.12
09/08/2023,137.06,137.06,133.71,134.22
08/08/2023,132.8,136.72,132.04,136.44
07/08/2023,130.91,134.3,130.65,133.63
06/08/2023,130.35,131.4,129.97,130.69
05/08/2023,129,130.34,128.61,129.81
04/08/2023,128.63,128.8,126.85,128.13
03/08/2023,129,131.63,128.48,129.61
02/08/2023,130.16,130.58,127.15,128.35
01/08/2023,129.35,133.49,128.87,131.03
31/07/2023,132.13,133.18,127.94,128.15
30/07/2023,127.2,129.62,126.83,129
29/07/2023,126.36,127.44,124.66,126.41
28/07/2023,129.44,129.57,126.21,127.09
27/07/2023,125.66,130.06,124.35,129
26/07/2023,122.81,125.81,121.49,125.56
25/07/2023,125.15,127.52,124.37,125.54
24/07/2023,120.11,125.02,118.67,123.41
23/07/2023,123.68,123.75,119.9,121.73
22/07/2023,127,131.3,123.64,123.93
21/07/2023,125.62,127.63,124.79,127.08
20/07/2023,127,129.59,125.09,126
19/07/2023,124.02,128.27,124.02,126.1
18/07/2023,119.21,123.88,119.21,123.83
17/07/2023,116.01,119.01,114.83,118.48
16/07/2023,117.84,118.2,115.9,116.6
15/07/2023,116.48,119.37,116.24,116.31
14/07/2023,118.93,118.93,115.5,116.82
13/07/2023,115.7,117.44,114.9,117.19
12/07/2023,122,122.4,116.52,118.59
11/07/2023,120.84,120.9,118.235,120.13
10/07/2023,122.1,123.63,119.27,120.32
09/07/2023,124.38,125.58,122.49,125.34
08/07/2023,128.1,128.92,125.53,125.54
07/07/2023,125.22,128.67,125,128.3
06/07/2023,123.3,126.24,120.51,125.72
05/07/2023,125.55,126.19,122.25,122.25
04/07/2023,119.82,127.73,119.5,125.19
03/07/2023,125.66,126.45,120.17,120.77
02/07/2023,124.45,125.21,122.98,123.7
01/07/2023,123.14,126.01,121.49,125.5
30/06/2023,123.45,125.62,121.48,122.99
29/06/2023,118.08,123.82,118.08,120.9
28/06/2023,120.26,123.93,118.98,119.8
27/06/2023,112.88,119.59,111.76,119.5
26/06/2023,103.9,113.24,103.9,112.33
25/06/2023,101.07,102.37,99.78,100.01
24/06/2023,100.59,103.26,100.35,101.91
23/06/2023,101.35,101.88,99.76,100.8
22/06/2023,97.47,100.06,94.54,100.04
21/06/2023,99.1,100.54,98.23,99.27
20/06/2023,101.75,104.12,99.41,100.71
19/06/2023,95,98.25,95,97.93
18/06/2023,91.11,94.51,91.04,93.56
17/06/2023,91.09,93.32,90.96,92.27
16/06/2023,92.08,92.72,90.59,92.17
15/06/2023,90.68,92.07,90.46,92.07
14/06/2023,90.96,91.67,88.59,91.21
13/06/2023,90.9,93.24,90.2,91.78
12/06/2023,84.58,90.98,84.58,90.81
11/06/2023,84.59,86.3,83.92,85.05
10/06/2023,82.39,84.25,79.75,83.52
09/06/2023,81.59,82.61,79.16,81.67
08/06/2023,82.53,83.32,80.87,81.21
07/06/2023,80.5,81.88,79.26,81.87
